district_code,district_name,ward_code,ward_name,available_zoom_levels,image_count,total_tile_count,most_complete_zoom_level,most_complete_image_relpath,largest_capture_zoom_level,largest_capture_image_relpath,largest_canvas_zoom_level,largest_canvas_image_relpath
HCM_Q10,Quận 10,HCM_Q10_Phuong1,Phường 1,"10,11,12,13,14",5,281,14,images/hcm_q10/phuong_1/zoom_14.jpg,14,images/hcm_q10/phuong_1/zoom_14.jpg,14,images/hcm_q10/phuong_1/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong2,Phường 2,"11,12,13,14,15",5,1216,15,images/hcm_q10/phuong_2/zoom_15.jpg,15,images/hcm_q10/phuong_2/zoom_15.jpg,15,images/hcm_q10/phuong_2/zoom_15.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong4,Phường 4,"10,11,12,13,14,15",6,172,15,images/hcm_q10/phuong_4/zoom_15.jpg,15,images/hcm_q10/phuong_4/zoom_15.jpg,15,images/hcm_q10/phuong_4/zoom_15.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong5,Phường 5,"10,11,12,13,14",5,60,11,images/hcm_q10/phuong_5/zoom_11.jpg,14,images/hcm_q10/phuong_5/zoom_14.jpg,14,images/hcm_q10/phuong_5/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong6,Phường 6,"10,11,12,13,14",5,37,14,images/hcm_q10/phuong_6/zoom_14.jpg,14,images/hcm_q10/phuong_6/zoom_14.jpg,14,images/hcm_q10/phuong_6/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong7,Phường 7,"10,11,12,13,14",5,38,14,images/hcm_q10/phuong_7/zoom_14.jpg,14,images/hcm_q10/phuong_7/zoom_14.jpg,14,images/hcm_q10/phuong_7/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong8,Phường 8,"10,11,12,13,14",5,32,13,images/hcm_q10/phuong_8/zoom_13.jpg,14,images/hcm_q10/phuong_8/zoom_14.jpg,14,images/hcm_q10/phuong_8/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong9,Phường 9,"10,11,12,13,14",5,36,13,images/hcm_q10/phuong_9/zoom_13.jpg,14,images/hcm_q10/phuong_9/zoom_14.jpg,14,images/hcm_q10/phuong_9/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong10,Phường 10,"10,11,12,13,14",5,40,14,images/hcm_q10/phuong_10/zoom_14.jpg,14,images/hcm_q10/phuong_10/zoom_14.jpg,14,images/hcm_q10/phuong_10/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong11,Phường 11,"10,11,12,13,14",5,86,12,images/hcm_q10/phuong_11/zoom_12.jpg,14,images/hcm_q10/phuong_11/zoom_14.jpg,14,images/hcm_q10/phuong_11/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong12,Phường 12,"11,12,13,14",4,33,13,images/hcm_q10/phuong_12/zoom_13.jpg,14,images/hcm_q10/phuong_12/zoom_14.jpg,14,images/hcm_q10/phuong_12/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong13,Phường 13,"12,14",2,30,14,images/hcm_q10/phuong_13/zoom_14.jpg,14,images/hcm_q10/phuong_13/zoom_14.jpg,14,images/hcm_q10/phuong_13/zoom_14.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong14,Phường 14,"11,12",2,39,11,images/hcm_q10/phuong_14/zoom_11.jpg,12,images/hcm_q10/phuong_14/zoom_12.jpg,12,images/hcm_q10/phuong_14/zoom_12.jpg
HCM_Q10,Quận 10,HCM_Q10_Phuong15,Phường 15,"11,12",2,21,12,images/hcm_q10/phuong_15/zoom_12.jpg,12,images/hcm_q10/phuong_15/zoom_12.jpg,12,images/hcm_q10/phuong_15/zoom_12.jpg
